able,18
aces,20
ache,19
acid,19
acne,20
acre,22
acts,18
aero,24
afro,20
aged,18
ages,19
ahem,18
aide,21
aims,19
airs,22
airy,20
akin,16
aloe,22
alps,17
also,20
alto,20
alum,16
amen,19
amid,18
amin,19
amir,21
amit,19
amor,21
amps,16
anew,18
anil,20
ante,20
anti,20
ants,18
anus,17
apes,19
apex,15
arch,19
arcs,20
arid,21
arms,19
army,17
arse,22
arts,20
atom,19
atop,19
aunt,17
auto,19
avid,15
axel,16
axes,16
axis,16
axle,16
bach,15
back,12
bags,15
bail,18
bait,18
bake,14
bald,15
bale,18
balm,15
band,15
bane,18
bang,15
bank,12
bans,16
bard,17
bare,20
bark,14
barn,18
bars,18
base,18
bash,15
bath,15
bats,16
bays,14
bead,17
beak,14
beam,17
bean,18
bear,20
beat,18
beau,17
beck,12
beds,15
begs,15
bein,18
belt,16
bend,15
bent,16
berg,17
best,16
beta,18
beth,15
bets,16
bhai,17
bias,18
bids,15
bien,18
bike,14
bile,18
bind,15
bing,15
bins,16
bios,18
bird,17
bite,18
bits,16
blah,15
bled,15
blew,14
bloc,16
blog,15
blot,16
blow,14
blue,15
blur,15
boar,20
boat,18
boca,18
bode,17
body,13
boil,18
bold,15
bolt,16
bona,18
bond,15
bone,18
bong,15
bony,14
bora,20
bore,20
born,18
both,15
bots,16
bout,15
bowl,14
bows,14
boys,14
brad,17
brag,17
bran,18
bras,18
brat,18
bray,16
bred,17
brew,16
brig,17
brim,17
brit,18
bros,18
brow,16
bruh,14
buck,9
buds,12
bugs,12
bulk,9
bump,11
bums,12
bunk,9
buns,13
burn,15
bury,13
bush,12
bust,13
busy,11
buys,11
byte,14
cabs,16
cafe,18
cage,19
cake,16
calf,16
cali,20
calm,17
came,19
camo,19
camp,16
cams,17
cane,20
cans,18
cant,18
cape,19
caps,17
carb,18
card,19
care,22
carl,20
carp,19
cars,20
cart,20
case,20
cash,17
cast,18
cate,20
cats,18
cave,16
cent,18
cert,20
chad,16
chai,19
chap,16
char,19
chat,17
chef,15
chew,15
chia,19
